Date,Open,High,Low,Close,Volume,Change
22-Jan-24,"63,354.43","64,090.88","63,139.72","63,939.41","197,283,355",657.19
19-Jan-24,"63,351.07","63,911.85","63,214.86","63,282.22","145,873,635",79.82
18-Jan-24,"63,579.97","63,579.96","62,528.55","63,202.40","235,243,488",-364.93
17-Jan-24,"63,692.22","64,043.86","63,290.18","63,567.33","249,257,124",-170.13
16-Jan-24,"64,246.68","64,246.67","63,397.94","63,737.46","234,389,148",-531.91
15-Jan-24,"64,885.15","65,173.87","64,130.95","64,269.37","235,432,382",-368.26
12-Jan-24,"64,917.06","65,356.85","64,491.08","64,637.63","402,808,230",20.07
11-Jan-24,"64,057.49","64,700.97","63,914.94","64,617.56","364,838,715",697.72
10-Jan-24,"64,234.83","64,550.94","63,873.63","63,919.84","336,520,914",-250.73
09-Jan-24,"64,536.58","64,786.35","63,878.21","64,170.57","253,614,365",-66.45
08-Jan-24,"64,684.23","65,069.43","64,183.52","64,237.02","314,518,273",-277.87
07-Jan-24,"78,531.93","79,536.22","78,427.79","78,824.33","163,286,438",379.37
05-Jan-24,"64,743.86","65,077.47","63,757.95","64,514.89","718,032,345",-124.26
04-Jan-24,"64,815.34","64,936.75","64,098.10","64,639.15","322,736,254",-7.69
03-Jan-24,"64,504.22","65,244.60","64,219.54","64,646.84","417,377,628",297.24
02-Jan-24,"65,120.39","65,333.69","64,213.62","64,349.60","424,015,769",-312.18
01-Jan-24,"62,969.99","64,718.88","62,672.96","64,661.78","339,925,632","2,210.74"
29-Dec-23,"62,225.33","62,644.38","61,807.54","62,451.04","362,722,668",398.81
28-Dec-23,"61,130.13","62,750.77","61,092.27","62,052.23","378,619,990","1,188.61"
27-Dec-23,"59,097.62","61,009.87","58,758.48","60,863.62","394,318,118","1,692.65"
26-Dec-23,"61,606.46","61,634.55","59,026.81","59,170.97","396,481,194","-2,534.12"
22-Dec-23,"62,838.18","62,995.21","61,569.13","61,705.09","333,554,752",-988.47
21-Dec-23,"62,742.26","62,850.09","61,750.97","62,693.56","526,378,529",245.55
20-Dec-23,"62,862.54","63,261.05","61,082.50","62,448.01","662,624,425",-385.02
19-Dec-23,"65,124.30","65,132.03","62,360.78","62,833.03","949,995,503","-2,371.64"
18-Dec-23,"66,525.70","66,586.61","65,064.94","65,204.67","963,383,501",-925.35
15-Dec-23,"65,774.74","66,346.76","65,559.48","66,130.02","984,029,483",679.84
14-Dec-23,"65,323.06","65,622.55","64,437.69","65,450.18","407,280,839",170.02
13-Dec-23,"66,764.30","67,093.96","64,427.38","65,280.16","677,143,245","-1,146.62"
12-Dec-23,"66,121.14","66,604.04","66,121.13","66,426.78","467,331,045",414.46
11-Dec-23,"66,162.29","66,564.04","65,128.99","66,012.32","613,393,284",-211.31
08-Dec-23,"65,055.17","66,273.73","65,055.17","66,223.63","818,336,744","1,505.56"
07-Dec-23,"64,159.02","64,958.10","63,853.04","64,718.07","765,341,303",800.35
06-Dec-23,"63,205.42","64,038.83","63,188.71","63,917.72","515,164,227",961.7
05-Dec-23,"62,653.40","63,036.51","62,215.18","62,956.02","408,331,339",462.97
04-Dec-23,"62,061.57","62,912.61","62,061.56","62,493.05","368,996,167",801.8
01-Dec-23,"60,667.83","61,779.72","60,576.41","61,691.25","295,893,264","1,159.98"
30-Nov-23,"60,787.90","60,981.67","60,428.13","60,531.27","232,896,884",29.28
29-Nov-23,"60,916.67","61,555.83","60,328.17","60,501.99","343,522,861",-228.27
28-Nov-23,"60,023.86","60,845.60","60,023.85","60,730.26","336,599,517",918.92
27-Nov-23,"59,298.90","59,896.08","58,999.30","59,811.34","276,857,891",724.99
